f (Hz);20log(Vo/Vi) (dB);;;
20;6,020599913;;;
30;6,020599913;;;
80;6,020599913;;;
150;6,020599913;;;
200;6,020599913;;;
210;5,882725754;;;
230;6,020599913;;;
250;5,880501882;;;
300;5,809596267;;;
500;5,593338881;;;
700;5,304284046;;;
900;4,914716978;;;
1100;4,608978428;;;
1500;3,617802839;;;
2000;2,465474156;;;
2500;1,275395717;;;
3000;0,261905962;;;
4000;-1,424960454;;;
6000;-4,447157748;;;
8000;-6,703130358;;;
10000;-8,616596222;;;
11000;-9,301553101;;;
13000;-10,6479159;;;
16000;-12,43146716;;;
18000;-13,16404507;;;
20000;-14,04067646;;;
22000;-14,93024189;;;
26000;-16,26208427;;;
33000;-17,8954852;;;
38000;-19,01945668;;;
